"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,integracion_radar,,text,"Record ID",,"Campo de identificación de Redcap (autogenerado por Redcap)",,,,,,,,,,,
integration_warning,integracion_radar,,descriptive,"Este campo es para la integración de Redcap con la plataforma RADAR. ********************************** ADVERTENCIA *************** ******************* ¡Los campos no deben ser editados!",,,,,,,,,,,,,
subject_id,integracion_radar,,text,"ID del participante",,"Plataforma RADAR (código generado por la plataforma Radar",,,,,,,,,,,"Campo de Integración "
human_readable_id,integracion_radar,,text,"ID legible por humanos",,"Campo de lectura humana (generado por la Platforma Radar usando una composición de [Nombre del proyecto + Código del Portal de gestión del proyecto + código de Ubicación + Redcap])",,,,,,,,,,,"Campo de Integración "
surname,informacion_de_contacto,,text,Apellidos,,Apellido,,,,y,,,,,,,Apellidos
name,informacion_de_contacto,,text,Nombre,,"Nombre (nombre usado en correos electrónicos generados automáticamente)",,,,y,,y,,,,,"Nombre (nombre empleado en los correos electrónicos automáticos)"
pref_name,informacion_de_contacto,,text,"Nombre preferido",,"Nombre preferido (podría ser utilizado en el correo electrónico autogenerado por la encuesta)",,,,y,,,,,,,"Nombre que prefiere usarse (podría utilizarse en el correo electrónico generado automáticamente por la encuesta)"
email,informacion_de_contacto,,text,"Dirección de correo electrónico",,"correo electrónico utilizado para distribuir encuestas a los participantes",email,,,y,,y,,,,,"correo electrónico empleado para el envío de encuestas a los participantes"
phone_number,informacion_de_contacto,,text,"Número de teléfono",,,,,,y,,,,,,,"Número de móvil del participante"
address,informacion_de_contacto,,text,Dirección,,,,,,y,,,,,,,"Dirección del participante"
best_contact_name,informacion_de_contacto,,text,"Mejor nombre de contacto",,,,,,y,,,,,,,"Información de contacto de un amigo o familiar a quien podemos contactar si el participante se vuelve inalcanzable (se muda de casa, etc.)."
best_contact_phone,informacion_de_contacto,,text,"Mejor número de teléfono",,,,,,y,,,,,,,"Número de teléfono de contacto del mejor nombre de contacto"
study,estudio,,radio,Estudio,"1, Trastorno depresivo mayor (TDM) | 2, Epilepsia | 3, Esclerosis múltiple (depresión) | 4, Esclerosis múltiple (discapacidad)",,,,,,,y,,,,,
enrolment_date,estudio,,text,"Fecha de inclusión en el estudio",,"Fecha (día-mes-año) de la inclusión en el estudio (este campo se utilizará para calcular los calendarios de las encuestas)",date_dmy,,,,,y,,,,,
enable_survey_invite,estudio,,yesno,"¿Enviar una invitación automática a la encuesta?",,"Seleccione <<no>> en caso de que el participante no deba recibir encuestas",,,,,,y,,,,,
visit,estudio,,text,Visita,,,integer,,,,,,,,,,
month,estudio,,text,"Mes en el estudio",,,integer,,,,,,,,,,
dob,socio_demograficos,"Código Participante: [subject_id]",text,"¿Cuál es su fecha de nacimiento?",,,date_dmy,,1999-10-15,,,y,,,,,
age,socio_demograficos,,text,"¿Qué edad tenía al empezar el estudio?",,,integer,18,,,,,,,,,
gender,socio_demograficos,,radio,"Usted es:","0,  Hombre | 1, Mujer",,,,,,,,,,,,
marital_status,socio_demograficos,,radio,"Usted es:","0,Soltero/a|1, Convive en pareja|2, Casado/a y conviviendo con su esposo/a|3, Casado/a y separado/a de su esposo/a|4,Divorciado/a|5,Viudo/a",,,,,,,,,,,,
children,socio_demograficos,,radio,"¿Tiene hijos?","0, No| 1, Sí",,,,,,,,,,,,
no_of_children,socio_demograficos,,text,"¿Cuántos hijos tiene?",,,integer,,,,"[children]=""1""",,,,,,
children_live_with_you,socio_demograficos,,text,"¿Cuántos hijos viven con usted?",,,integer,,,,"[children]=""1""",,,,,,
youngest_child_age,socio_demograficos,,text,"¿Qué edad tiene su hijo menor?",,,number,0,100,,"[children] = '1'",,,,,,
country,socio_demograficos,País,text,"¿En qué país nació?",,,,,,,,,,,,,
eduction_finish_age,socio_demograficos,Educación,text,"¿A qué edad terminó la educación continuada a tiempo completo o la universidad?",,,integer,,,,,,,,,,
degree_1,socio_demograficos,,radio,"¿Cuál de los siguientes títulos académicos posee?","0,Título postgrado, máster, Doctorado|1,Título universitario o equivalente|2, Bachillerato o equivalente (COU,FP de grado medio)|3, Secundaria (ESO) o equivalente (BUP)|4, Primaria o equivalente (EGB)|5, Menos de primaria|6, Nunca fue al colegio",,,,,,,,,,,,
benefits_type,socio_demograficos,"Ayudas/Renta Familiar",radio,"¿Recibe alguna de estas ayudas en la que usted sea el beneficiario/a directo/a?","0, No| 1, Sí",,,,,,,,,,,,
benefits_type2,socio_demograficos,,checkbox,"En caso afirmativo, por favor, indique cuáles de las siguientes condiciones le aplican:","0, Subsidio por desempleo (contributiva o a nivel asistencial) | 1, Ayuda familiar | 2, Pensión de invalidez | 3, Pensión de jubilación | 4, Otras",,,,,,"[benefits_type]=""1""",,,,,,
benefits,socio_demograficos,,radio,"¿Recibe alguien de su casa ayudas?","0, No| 1, Sí",,,,,,,,,,,,
income_eur,socio_demograficos,,radio,"Cuál de las siguientes opciones se corresponde con los ingresos brutos anuales de su grupo familiar (ingresos de todo tipo de fuentes antes de deducciones de impuestos y seguros)","0, Menos de 15,000€|1, 15,000€-24,000€|2, 24,000€-40,000€|3, 40,000€-55,000€|4, Más de 55,000€",,,,,,,,,,,,
income_contribution,socio_demograficos,,text,"¿Cuántas personas contribuyen en los ingresos del hogar?",,,integer,,,,,,,,,,
people_in_house,socio_demograficos,,text,"¿Cuántas personas viven en el hogar?",,,integer,,,,,,,,,,
accommodation,socio_demograficos,Alojamiento,radio,"¿Qué situación tiene con respecto a su vivienda?","0, Es de mi propiedad|1, Es de mi propiedad pagando hipoteca o préstamo|2, Alquiler en un piso compartido o hipoteca compartida|3, Alquiler a piso de protección oficial|4, Alquiler a dueño privado|5, Vivo aquí sin pagar alquiler (incluye vivir en la propiedad de familiares o amigos sin pagar alquiler; excluye ocupación ilegal)|6, Ocupación ilegal|7,Otras",,,,,,,,,,,,
accommodation_satisfaction,socio_demograficos,,radio,"¿En qué medida está satisfecho/a con su alojamiento?","0, Muy insatisfecho/a|1, Algo insatisfecho/a|2, Ni satisfecho ni insatisfecho|3, Bastante satisfecho|4, Muy satisfecho |",,,,,,,,,,,,
utilities,socio_demograficos,,checkbox,"¿Ha habido veces en el último año en las que ha tenido serios problemas para pagar las siguientes facturas?:","0, Alquiler|1, Gas|2, Electricidad|3, Agua|4, Pago a plazos de bienes |5, Hipoteca|6, Impuestos municipales|7, Pagos con tarjetas de crédito|8, Teléfono/Internet|9, Otros préstamos|10, Ninguno de estos |",,,,,,,,,,,,
