"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,radar_integration,,text,"Record ID",,"Redcap ID field (autogenerated by Redcap)",,,,,,,,,,,
integration_warning,radar_integration,,descriptive,"This form is for integration of Redcap with the RADAR-Platform. ********************************** WARNING **********************************The fields here are not intended to be edited!",,,,,,,,,,,,,
subject_id,radar_integration,,text,"Participant ID",,"RADAR-platform (generated ID by Radar Platform)",,,,,,,,,,,"Integration Fields"
human_readable_id,radar_integration,,text,"Human Readable ID",,"Human Readable Field (generated by Radar Platform using a composition of [Project Name + Management Portal Project ID + Location + Redcap ID])",,,,,,,,,,,"Integration Fields"
contact_date,contact_log,"Extra Contact",text,"Contact Date",,,datetime_ymd,,,,,y,,,,,"Add Date and Time of Contact"
comms_method,contact_log,,dropdown,"Communication Method","1, Phone | 2, Text | 3, Email | 4, In-Person | 5, Other",,,,,,,y,,,,,
initiated_by,contact_log,,dropdown,"Initiated By","0, Participant | 1, Study Team | 2, Other",,,,,,,y,,,,,"Who imitated this contact?"
team_member,contact_log,,text,"Team Member",,,,,,,"[enrolment_arm_1][initiated_by] <> 0",y,,,,,
subject,contact_log,,text,Subject,,,,,,,,,,,,,
contact_notes,contact_log,,notes,"Contact Notes",,,,,,,,,,,,,"Add Any extra details about the contact here"
contact_log_ts,contact_log,,text,"Form first saved on",,,datetime_seconds_ymd,,,,,,,,,," @NOW @READONLY @READONLY"
feedback_date,participant_feedback,,text,"Feedback date",,,date_dmy,,,,,,,,,,
feedback_title,participant_feedback,,text,"Feedback subject",,,,,,,,,,,,,
feedback_collected,participant_feedback,,dropdown,"When was the feedback collected?","1, at enrolment | 2, 3 day call | 3, 1 week call | 4, 1 month call | 5, 3 month call | 6, 6 month call | 7, 9 month call | 8, 1 year call | 9, 15 month call | 10, participant contact | 11, during interview",,,,,,,,,,,,
type_of_feedback,participant_feedback,,dropdown,"Type of feedback","1, Text | 2, Email | 3, Verbal",,,,,,,,,,,,
feedback_subject,participant_feedback,,notes,Feedback,,,,,,,,,,,,,
participant_feedback_ts,participant_feedback,,text,"Form first saved on",,,datetime_seconds_ymd,,,,,,,,,," @NOW @READONLY @READONLY"
