"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,radar_integration,,text,"Record ID",,"Redcap ID field (autogenerated by Redcap)",,,,,,,,,,,
integration_warning,radar_integration,,descriptive,"Dit formulier is voor integratie van Redcap met het RADAR-Platform. ********************************** WAARSCHUWING**********************************Deze velden mogen niet aangepast worden!",,,,,,,,,,,,,
subject_id,radar_integration,,text,"Participant ID",,"RADAR-platform (generated ID by Radar Platform)",,,,,,,,,,,"Integration Fields"
human_readable_id,radar_integration,,text,"Human Readable ID",,"Human Readable Field (generated by Radar Platform using a composition of [Project Name + Management Portal Project ID + Location + Redcap ID])",,,,,,,,,,,"Integration Fields"
surname,contact_info,"LET OP: hier - behalve het emailadres van de respondent - GEEN persoonsgegevens invoeren",text,Achternaam,,"Achternaam (N.B. Niet invullen - alleen in Acces invoeren - zie instructie)",,,,y,,,,,,,Achternaam
name,contact_info,,text,Voornaam,,"Voornaam (naam die gebruikt wordt op de automatisch gegenereerde emails) (N.B. Niet invullen - alleen in Acces invoeren, zie instructie)",,,,y,,,,,,,Voornaam
pref_name,contact_info,,text,"Geprefereerde naam",,"Geprefereerde naam (kan gebruikt worden op de automatisch gegenereerde emails voor de vragenlijsten) N.B. Leeg laten",,,,y,,,,,,,"Geprefereerde naam"
email,contact_info,,text,Emailadres,,"emailadres dat gebruikt wordt voor de uitnodigingen van de vragenlijsten",email,,,y,,y,,,,,
phone_number,contact_info,,text,Telefoonnummer,,"(N.B. leeg laten - alleen in Acces invoeren)",,,,y,,,,,,,"telefoonnummer deelnemer"
address,contact_info,,text,Adres,,"(N.B. leeg laten - alleen in Acces invoeren)",,,,y,,,,,,,"adres van participant"
best_contact_name,contact_info,,text,Contactpersoon,,"(N.B. leeg laten - alleen in Acces invoeren)",,,,y,,,,,,,"Contactpersoon: contact informatie van vriend of familielid die gecontacteerd kan worden indien we de deelnemer niet kunnen bereiken (verhuisd, etc.)"
best_contact_phone,contact_info,,text,"Telefoonnummer contactpersoon",,"(N.B. leeg laten - alleen in Acces invoeren)",,,,y,,,,,,,"telefoonnummer van contactpersoon"
landline,contact_info,,text,"Vaste telefoon",,"(N.B. leeg laten - alleen in Acces invoeren)",,,,y,,,,,,,
preferred_means_of_contact,contact_info,,radio,"Geprefereerde manier van contact","1, Email | 2, Mobiele telefoon | 3, Vaste telefoon",,,,,,,,,,,,
gp_name,contact_info,,text,"Naam huisarts",,"(N.B. leeg laten - alleen in Acces invoeren)",,,,y,,,,,,,
gp_address,contact_info,,notes,"Adres huisarts",,"(N.B. leeg laten - alleen in Acces invoeren)",,,,y,,,,,,,
date_of_birth,contact_info,,text,Geboortedatum,,"voor brief huisarts  (N.B. leeg laten - alleen in Acces invoeren)",,,,,,,RH,,,,
gp_contact_notes,contact_info,,notes,"Aantekeningen huisarts contact",,,,,,y,,,,,,,
source_field,contact_info,Source,radio,"Geworven uit:","1, NESDA | 2, MOTAR | 3, E-compared | 4, Andere studie | 5, Deelnemer heeft zichzelf aangemeld",,,,,,,,,,,,
source_field_other,contact_info,,text,"Naam andere studie",,,,,,,"[source_field] = '4'",,,,,,
participant_initiated_source,contact_info,,radio,"Deelnemer aanmelding via","1, Website | 2, Twitter | 3, Onbekend| 4, Anders",,,,,,"[source_field] = '5'",,,,,,
other_participant_intiated_source,contact_info,,text,Anders,namelijk,,,,,,"[participant_initiated_source] = '4'",,,,,,
