"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,radar_integration,,text,"Record ID",,"Redcap ID felt(autogenereret af Redcap)",,,,,,,,,,,
integration_warning,radar_integration,,descriptive,"Dette skema bruges til integrationen imellem Redcap og RADAR-platformen.********************************** WARNING **********************************Felterne må ikke ændres!",,,,,,,,,,,,,
subject_id,radar_integration,,text,"Participant ID",,"RADAR-platform(genereret ID af RADAR platform)",,,,,,,,,,,"Integration Fields"
human_readable_id,radar_integration,,text,"Human Readable ID",,"Human Readable Field (Genereret af RADAR platformen ved brug af (Projekt Navn + Management Portal Project ID + Lokation + Redcap ID)",,,,,,,,,,,"Integration Fields"
name,contact_info,,text,Patientnummer,,"Skal overenstemmes med omsætnings-excelarket",,,,y,,y,,,,,Navn
email,contact_info,,text,"Email Adresse",,"Email til at distribuere spørgeskema invitation til deltageren.",email,,,y,,y,,,,,
hospital_num,contact_info,,text,Hospitalsnummer,,,,,,,,,,,,,
contact_info_ts,contact_info,,text,"Form first saved on",,,datetime_seconds_ymd,,,,,,,,,,"@NOW @READONLY"
yob,socio_demographics,"Deltager-ID: [subject_id]",dropdown,"Hvad er dit fødselsår?","0, 1999 | 1, 1998 | 2, 1997 | 3, 1996 | 4, 1995 | 5, 1994 | 6, 1993 | 7, 1992 | 8, 1991 | 9, 1990 | 10, 1989 | 11, 1988 | 12, 1987 | 13, 1986 | 14, 1985 | 15, 1984 | 16, 1983 | 17, 1982 | 18, 1981 | 19, 1980 | 20, 1979 | 21, 1978 | 22, 1977 | 23, 1976 | 24, 1975 | 25, 1974 | 26, 1973 | 27, 1972 | 28, 1971 | 29, 1970 | 30, 1969 | 31, 1968 | 32, 1967 | 33, 1966 | 34, 1965 | 35, 1964 | 36, 1963 | 37, 1962 | 38, 1961 | 39, 1960 | 40, 1959 | 41, 1958 | 42, 1957 | 43, 1956 | 44, 1955 | 45, 1954 | 46, 1953 | 47, 1952 | 48, 1951 | 49, 1950 | 50, 1949 | 51, 1948 | 52, 1947 | 53, 1946 | 54, 1945 | 55, 1944 | 56, 1943 | 57, 1942 | 58, 1941 | 59, 1940 | 60, 1939 | 61, 1938 | 62, 1937",,autocomplete,,,,,y,,,,,
age,socio_demographics,,text,"Hvad var din alder ved studie start?",,,integer,18,,,,y,,,,,
gender,socio_demographics,,radio,"Er du:","0, Mand | 1, Kvinde | 2, Andet",,,,,,,y,,,,,
marital_status,socio_demographics,,radio,"Er du:","0,Single|1,Bor sammen med din partner|2,Gift og bor med din mand/kone|3,Gift og sepereret fra din mand/kone|4,Skilt|5,Enke",,,,,,,y,,,,,
living_together,socio_demographics,,radio,"Har du en samboende som du er i parforhold med?","0,Nej|1,Ja",,,,,,,y,,,,,
children,socio_demographics,,radio,"Har du børn?","0,Nej|1,Ja",,,,,,,y,,,,,
no_of_children,socio_demographics,,text,"Hvor mange børn har du?",,,integer,,,,"[children]=""1""",y,,,,,
children_live_with_you,socio_demographics,,text,"Hvor mange børn bor i din husstand?",,,integer,,,,"[children]=""1""",y,,,,,
youngest_child_age,socio_demographics,,text,"Hvor gammel er dit yngste barn?",,,,,,,,y,,,,,
ethnicity_1,socio_demographics,"Vælg en valgmulighed der bedst beskriver din etniske gruppe eller baggrund",radio,"Hvilken etnisk gruppe eller baggrund tilhører du?","0, Kaukasisk| 1, Afrikansk| 2, Asiatisk| 3, Anden etnisk gruppe",,,,,,,y,,,,,
eduction_finish_age,socio_demographics,Uddannelse,text,"Hvor gammel var du da du færdiggjorde din uddannelse?",,,integer,,,,,y,,,,,
