"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,radar_integration,,text,"ID del registro",,"Campo de ID Recap (generado automáticamente por Redcap)",,,,,,,,,,,
integration_warning,radar_integration,,descriptive,"El presente formulario es para la integración de Redcap con la Plataforma RADAR. ********************************** ADVERTENCIA **********************************¡Los siguientes campos no deben ser editados!",,,,,,,,,,,,,
subject_id,radar_integration,,text,"ID del participante",,"Plataforma RADAR (ID generado por la Plataforma RADAR)",,,,,,,,,,,"Integration Fields"
human_readable_id,radar_integration,,text,"ID legible por humanos",,"Campo legible por humanos (generado por la Plataforma Radar, empleando la composición [Nombre del proyecto + ID del proyecto del portal de gestión + Ubicación + ID Redcap])",,,,,,,,,,,"Integration Fields"
surname,contact_info,,text,Apellidos,,Apellidos,,,,y,,,,,,,Surname
name,contact_info,,text,Nombre,,"Nombre (nombre empleado en los correos electrónicos automáticos)",,,,y,,y,,,,,"First Name"
pref_name,contact_info,,text,"Nombre preferido",,"Nombre que prefiere usar (podría utilizarse en el correo electrónico generado automáticamente por la encuesta)",,,,y,,,,,,,"Preferred Name"
email,contact_info,,text,"Dirección de correo electrónico",,"correo electrónico empleado para el envío de encuestas a los participantes",email,,,y,,y,,,,,
hospital_num,contact_info,,text,"Número del hospital",,,,,,,,,,,,,
yob,socio_demographics,"ID del participante [subject_id]",dropdown,"¿Cuál es su fecha de nacimiento?","0, 2000 |1, 1999 | 2, 1998 | 3, 1997 | 4, 1996 | 5, 1995 | 6, 1994 | 7, 1993 | 8, 1992 | 9, 1991 | 10, 1990 | 11, 1989 | 12, 1988 | 13, 1987 | 14, 1986 | 15, 1985 | 16, 1984 | 17, 1983 | 18, 1982 | 19, 1981 | 20, 1980 | 21, 1979 | 22, 1978 | 23, 1977 | 24, 1976 | 25, 1975 | 26, 1974 | 27, 1973 | 28, 1972 | 29, 1971 | 30, 1970 | 31, 1969 | 32, 1968 | 33, 1967 | 34, 1966 | 35, 1965 | 36, 1964 | 37, 1963 | 38, 1962 | 39, 1961 | 40, 1960 | 41, 1959 | 42, 1958 | 43, 1957 | 44, 1956 | 45, 1955 | 46, 1954 | 47, 1953 | 48, 1952 | 49, 1951 | 50, 1950 | 51, 1949 | 52, 1948 | 53, 1947 | 54, 1946 | 55, 1945 | 56, 1944 | 57, 1943 | 58, 1942 | 59, 1941 | 60, 1940 | 61, 1939 | 62, 1938 | 63, 1937",,autocomplete,,,,,y,,,,,
